"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4514075,0,2
4514202,0,2
4514182,0,1
4513982,0,1
4513725,0,1
4514221,0,1
4514277,0,1
4513994,0,1
4514195,0,1
4514049,0,1
4514191,0,1
4514284,0,1
4514004,0,1
4503914,0,1
4513727,0,2
4514283,0,1
4514199,0,1
4504016,0,1
4503930,0,1
4514099,0,1
4514695,0,2
4514507,0,2
4514584,0,2
4514003,0,1
4514693,0,1
4503967,0,1
4514386,0,1
4514688,0,1
4514097,0,2
4504456,0,1
4504417,0,1
4521581,0,1
4514210,0,2
4514383,0,1
4514692,0,1
4514405,0,2
4514489,0,1
4514481,0,1
4514539,0,1
4514682,0,1
4503909,0,1
4504461,0,1
4504436,0,1
4514534,0,4
4521788,0,4
4521852,0,1
4521954,0,2
4542598,0,1
4542508,0,1
4542918,0,1
4504450,0,1
4542408,0,1
4542303,0,3
4542298,0,1
4542371,0,1
4542310,1,0
4515271,0,1
4514485,0,1
4514694,0,1
4514715,0,2
4515118,0,1
4515036,0,1
4514774,0,1
4522552,0,1
4514733,0,1
4514669,0,1
4514701,0,1
4514725,0,1
4542547,0,1
4514698,0,1
4514478,0,1
4514670,0,3
4514940,0,1
4542586,0,1
4542917,0,1
4542108,0,1
4542462,0,1
4542720,0,1
4542719,0,1
4542585,0,1
4542892,0,1
4542975,0,1
4542553,0,1
4542506,0,1
4504094,0,1
4541909,0,1
4542560,0,1
4542589,0,1
4542537,0,1
4542552,0,1
4542145,0,2
4541875,0,4
4542541,0,2
4542853,0,2
4542302,0,1
4515354,0,1
4515325,0,3
4515547,0,1
4515270,0,1
4515062,0,1
4515389,0,2
4515031,0,1
4515463,0,2
4515976,0,2
4515296,0,2
4515049,0,1
4515206,0,1
4515203,0,3
4515119,0,2
4515276,0,1
4514728,0,1
4515288,0,1
4515277,0,1
4515387,0,2
4515282,0,2
4515975,0,1
4515550,0,3
4515110,0,1
4514911,0,2
4543464,0,1
4545987,0,1
4516048,0,1
