"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4486991,0,4
4486516,0,1
4487052,0,1
4486556,0,1
4485150,0,1
4485355,0,1
4485090,0,2
4456683,0,1
4456865,0,1
4456655,0,1
4456592,0,1
4456577,0,1
4456200,0,1
4456921,0,2
4455757,0,1
4455822,0,1
4456688,0,1
4456395,0,1
4456595,0,1
4455935,0,2
4403773,0,1
4407638,0,1
4408038,0,3
4407821,0,1
4408259,0,1
4408396,0,1
4408242,0,1
4408032,0,1
4407478,0,1
4407539,0,2
4407856,0,1
4407729,0,1
4407414,0,1
4408063,1,0
4407866,0,2
4407637,0,1
4407354,0,1
4408027,0,1
4407805,0,1
4407548,0,1
4456635,0,1
4407842,0,1
4407673,0,2
4408367,0,2
4407642,0,1
4408033,0,1
4408308,0,2
4408119,0,2
4407816,0,1
4407741,0,1
4407647,0,1
4408227,0,1
4408028,0,1
4407327,0,2
4408154,0,1
4408233,0,1
4408331,0,1
4407506,0,1
4407359,0,1
4407857,0,1
4408068,0,1
4407353,0,1
4407296,0,1
4407804,0,1
4407795,0,1
4407998,0,2
4408226,0,1
4407743,0,2
4407699,0,1
4408221,0,1
4407427,0,3
4407768,0,1
4407740,0,2
4407560,0,1
4408325,0,1
4407890,0,1
4408065,0,3
4407405,0,1
4408039,0,1
4408370,0,1
4408260,0,1
4408031,0,1
4407687,0,1
4407739,0,2
4407932,0,1
4407426,0,1
4455839,0,1
4456652,0,1
4456657,0,1
4456807,0,1
4456377,0,1
4456800,0,1
4456324,0,1
4456942,0,1
4455897,0,1
4456390,0,2
4455982,0,2
4456626,0,1
4456639,0,2
4456578,0,1
4456298,0,1
4456815,0,1
4456864,0,1
4456708,0,1
4456201,0,2
4485278,0,1
4484818,0,1
4404427,0,1
4403283,0,1
4408048,0,1
4408579,0,2
4408519,0,2
4408570,0,1
4408475,0,2
4408533,0,1
4408615,0,2
4408524,0,1
4408135,0,1
4408074,0,2
4408130,0,1
4408388,0,1
4408672,0,1
4408099,0,1
