"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4521853,0,1
4513935,0,1
4514237,0,1
4513565,0,1
4513887,0,1
4514194,0,1
4513735,0,1
4514302,0,1
4513739,0,1
4513714,0,1
4514157,0,2
4514301,0,1
4514154,0,1
4514276,0,1
4513993,0,1
4513660,0,1
4513489,0,1
4504653,0,1
4503942,0,2
4514548,0,1
4513631,0,1
4513979,0,1
4514434,0,1
4514069,0,1
4514225,0,1
4514509,0,1
4514665,0,1
4514484,0,1
4514268,0,1
4514409,0,1
4514521,0,1
4513796,0,1
4513750,0,1
4522117,0,1
4521551,0,1
4522241,0,1
4504654,0,1
4522187,0,1
4514750,0,1
4514454,0,1
4514675,0,2
4514342,1,2
4514817,0,1
4514274,0,1
4514273,0,1
4514078,0,1
4514379,0,1
4522307,0,1
4545565,0,1
4543017,0,1
4542053,0,1
4542471,0,1
4542944,0,3
4543105,0,2
4521625,0,1
4543055,0,1
4542495,0,1
4542774,0,1
4521985,0,1
4514968,0,1
4515054,0,1
4514828,0,1
4514664,0,1
4514671,0,1
4542411,0,1
4542345,0,1
4543060,0,1
4542339,0,1
4542647,0,3
4542313,0,1
4542415,0,1
4541974,0,1
4542496,0,2
4542342,0,1
4504283,0,1
4543109,0,1
4542312,0,1
4542414,0,1
4542769,0,1
4543083,0,1
4545724,0,1
4515570,0,1
4515715,0,1
4515500,0,2
4515560,0,1
4515299,0,1
4515686,0,1
4515590,0,1
4515237,0,1
4515375,0,1
4515565,0,1
4515435,0,1
4515679,0,1
4515344,0,3
4515572,0,1
4515591,0,1
4515583,0,1
4515429,0,1
4515436,0,1
4515563,0,1
4515428,0,1
4515568,0,1
4515576,0,1
4514840,0,1
4514875,0,4
4515379,0,1
4515240,0,1
4515596,0,1
4522240,0,1
4521413,0,1
4521872,0,1
4516041,0,4
4516056,0,1
4515569,0,1
4543014,0,1
4516110,0,1
4516026,0,2
4516015,0,1
4516027,0,3
4516018,0,2
4516038,0,1
4515499,0,1
4516031,0,1
4516087,0,1
4515779,0,1
4543310,0,1
4522488,0,1
4543412,0,1
4491530,0,1
4491345,0,1
4491191,0,3
4491457,0,1
4491446,0,1
4491625,0,2
4491421,0,1
4491637,0,1
4543220,0,1
4543321,0,1
4543088,0,1
4504700,0,1
4504717,0,1
4491881,0,3
4491621,0,1
4491683,0,1
4543266,0,1
4542787,0,2
4543441,0,1
4543222,0,1
4543085,0,1
4516053,0,2
4516067,0,1
4516370,0,1
4516364,0,1
4515841,0,2
4515913,0,1
4515931,0,1
4516592,0,1
4516012,0,1
4516489,0,1
4491884,0,1
4492086,0,1
4516328,0,1
4516413,0,1
4515585,0,1
4516306,0,1
4515832,0,1
4516052,0,1
4516510,0,1
4516307,0,1
4515586,0,2
4491925,0,2
4491878,0,1
4492187,0,1
4492078,0,1
4492474,0,2
4504714,0,1
4492009,0,1
4516868,0,1
4516378,0,1
4516265,0,1
4516724,0,1
4516785,0,4
4516376,0,1
4516326,0,2
4516079,0,1
4516325,0,1
4543751,0,2
4543739,0,1
4542950,0,1
4493060,0,1
4492484,0,1
4492275,0,1
