"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4521590,0,1
4521684,0,1
4513794,0,1
4514267,0,1
4513637,0,1
4513772,0,1
4513582,0,2
4513550,0,1
4513630,0,1
4513783,0,1
4513584,0,1
4513633,0,1
4513569,0,2
4513551,0,3
4513932,0,3
4503979,0,1
4546058,0,1
4504062,0,1
4513934,0,1
4514105,0,1
4513903,0,1
4513821,0,1
4513910,0,2
4513858,0,3
4513938,0,1
4513786,0,5
4513854,0,1
4514394,0,2
4514673,0,1
4513797,0,1
4514254,0,1
4514592,0,1
4521732,0,1
4514597,0,1
4514406,0,1
4514310,0,1
4514758,0,1
4514246,0,1
4514427,0,1
4514249,0,1
4514388,0,1
4514809,0,1
4514505,0,1
4514171,0,1
4514881,0,1
4514317,0,1
4514167,0,1
4504618,0,1
4514821,0,1
4514235,0,1
4514036,0,1
4514775,0,1
4514402,0,1
4534863,0,1
4542691,0,2
4542864,0,1
4542304,0,1
4542093,0,3
4542388,0,1
4542284,0,1
4541970,0,2
4542463,0,1
4504161,0,1
4542562,0,1
4542606,0,1
4507905,0,1
4522175,0,1
4514886,0,1
4514532,0,2
4514522,0,1
4515061,0,1
4515091,0,1
4514862,0,1
4514627,0,1
4514586,0,1
4561659,0,2
4515138,0,1
4514680,0,1
4515090,0,1
4514646,0,3
4514855,0,1
4514626,0,1
4514662,0,1
4514882,0,1
4514511,0,1
4542291,0,1
4542655,0,1
4542675,0,1
4542421,0,1
4542197,0,1
4543125,0,1
4541991,0,1
4542272,0,1
4542616,0,1
4542643,0,1
4542958,0,1
4542267,0,2
4542507,0,1
4542475,0,1
4543048,0,1
4542314,0,2
4542458,0,1
4542652,0,1
4541766,0,2
4542627,0,1
4542777,0,1
4541651,0,1
4542632,0,4
4542383,0,1
4543119,0,1
4542270,0,1
4541941,0,1
4542085,0,1
4541992,0,1
4542784,0,1
4542260,0,1
4542633,0,1
4542295,0,1
4502505,0,2
4503867,0,1
4504471,0,1
4505065,0,1
4542602,0,4
4542645,0,1
4542185,0,2
4542449,0,1
4542425,0,2
4542708,0,1
4541653,0,2
4542629,0,1
4542844,0,6
4542858,0,1
4542677,0,1
4542374,0,3
4542640,0,1
4542474,0,1
4543129,0,1
4542246,0,1
4542457,0,1
4542478,0,1
4542184,0,3
4542785,0,1
4541940,0,1
4542649,0,1
4542088,0,1
4542292,0,1
4542176,0,2
4542213,0,1
4542775,0,1
4542352,0,1
4542658,0,1
4542514,0,1
4542451,0,1
4542833,0,2
4541947,0,1
4542281,0,2
4542741,0,1
4542483,0,1
4545649,0,1
4512305,0,2
4515095,0,1
4545618,0,2
4515147,0,1
4515518,0,1
4515330,0,1
4515418,0,1
4515759,0,1
4514922,0,1
4515141,0,1
4515394,0,1
4515421,0,2
4515322,0,1
4515457,0,1
4514877,0,1
4515202,0,1
4515489,0,1
4515413,0,1
4514747,0,2
4515080,0,1
4515867,0,2
4515492,0,1
4515198,0,1
4515941,0,2
4515053,0,1
4514876,0,1
4515608,0,1
4514997,0,1
4515199,0,1
4515675,0,1
4515684,0,2
4514971,0,4
4515520,0,1
4515065,0,1
4515442,0,2
4515329,0,3
4515491,0,2
4509542,0,1
4514833,0,1
4514975,0,1
4515383,0,1
4515219,0,1
4514883,0,1
4515448,0,1
4515501,0,1
4515768,0,1
4522150,0,1
4521457,0,2
4522378,0,1
4522364,0,1
4516170,0,1
4515775,0,1
4515481,0,2
4515602,0,1
4515949,0,2
4515508,0,1
4515544,0,1
4515902,0,1
4515772,0,1
4515485,0,1
4515945,0,1
4515543,0,1
4515487,0,1
4515903,0,1
4515747,0,2
4516004,0,1
4543120,0,1
4542678,0,1
4543250,0,4
4542993,0,2
4543424,0,1
4522269,0,1
4543121,0,1
4543332,0,2
4542815,0,1
4491624,0,1
4491163,0,1
4491758,0,1
4491212,0,1
4491572,0,1
4491403,0,5
4491498,0,1
4491216,0,1
4542753,0,1
4491499,0,2
4491147,0,3
4491407,0,1
4491327,0,1
4504362,0,1
4542834,0,2
4542778,0,1
4543228,0,1
4542998,0,1
4543232,0,3
4504676,0,1
4543252,0,1
4543426,0,1
4542711,0,1
4542859,0,2
4543248,0,1
4542664,0,1
4543297,0,2
4542743,0,3
4504271,0,1
4542758,0,2
4491588,0,1
4491711,0,1
4491638,0,1
4491591,0,1
4491477,1,0
4491645,0,1
4491648,0,2
4491601,0,1
4491760,0,1
4504257,0,1
4504351,0,1
4504182,0,1
4543428,0,2
4543208,0,1
4543329,0,1
4543180,0,1
4542687,0,7
4542817,0,1
4546120,0,1
4513308,0,1
4515884,0,1
4516456,0,1
4516642,0,1
4516631,0,1
4516474,0,1
4515967,0,1
4515562,0,1
4504816,0,1
4491936,0,1
4492358,0,1
4491801,0,1
4491794,0,1
4491988,0,1
4492135,0,1
4491872,0,1
4491769,0,3
4491847,0,1
4491834,0,1
4491945,0,1
4515946,0,1
4515880,0,1
4516371,0,1
4516617,0,1
4516498,0,1
4504201,0,1
4504358,0,1
4492408,0,1
4491897,0,2
4492235,0,1
4492418,0,1
4491990,0,1
4492090,0,1
4515366,0,1
4516792,0,1
4516206,0,1
4516201,0,1
4516449,0,1
4516694,0,1
4516811,0,1
4492663,0,1
4504808,0,1
4504202,0,1
4504253,0,2
4516773,0,1
4515898,0,1
4516452,0,1
4516086,0,1
4516209,0,1
4516204,0,1
4516926,0,1
4515900,0,1
4516494,0,1
4516380,0,2
4516205,0,1
4516901,0,1
4516252,0,1
4516745,0,1
4516759,0,1
4543704,0,1
4543726,0,2
4567823,0,1
4543339,0,1
4543126,0,1
4543177,0,1
4492826,0,1
4492111,0,1
4492775,0,1
4492759,0,1
4492654,0,2
4492594,0,4
4492335,0,1
4492686,0,1
4492691,0,1
4492645,0,2
4492640,0,1
4492129,0,2
4492655,0,2
4492349,0,1
4493022,0,1
4492348,0,1
4492601,0,1
4492698,0,3
4492478,0,1
4493122,0,1
4493021,0,1
