"COLLISION_ID","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PERSONS.INJURED"
4513701,0,1
4513707,0,3
4513696,0,1
4504501,0,1
4514615,0,1
4514610,0,2
4522265,0,5
4514549,0,2
4515127,0,1
4515167,0,1
4515162,0,1
4515153,0,1
4515152,0,2
4542125,0,1
4542126,0,1
4515808,0,1
4515800,0,4
4515527,0,1
4515158,0,1
4515316,0,1
4515144,0,1
4515157,0,1
4515799,0,1
4515821,0,2
4515537,0,1
4516212,0,1
4491546,0,1
4491542,0,1
4491548,0,2
4516605,0,1
4516621,0,1
4504494,0,1
4516603,0,1
4516609,0,2
4516601,0,1
4491876,0,1
4492419,0,1
4504496,0,2
4516211,0,1
4516213,0,1
4543578,0,4
4493180,0,1
4492851,0,1
4492513,0,1
4493182,0,1
4492610,0,1
4493178,0,1
4492668,0,1
4493183,0,1
4492724,0,1
4492575,0,1
4543068,0,1
4492903,0,1
4493565,0,4
4493224,0,1
4493171,0,1
4493732,0,1
4493827,0,2
4493853,0,1
4493738,0,1
4493736,0,1
4493833,0,2
4494022,0,1
4493857,0,1
4543525,0,1
4494213,0,1
4517113,0,1
4517111,0,1
4494476,0,2
4494221,0,1
4494273,0,1
4494708,0,1
4494551,0,1
4494660,0,1
4494554,0,2
4494459,0,3
4494560,0,1
4494217,0,1
4494701,0,1
4495310,0,1
4495753,0,1
4544365,0,1
4544347,0,1
4544155,0,3
4544147,0,1
4543857,0,2
4544356,0,1
4544148,0,1
4544361,0,1
4544363,0,2
4518382,0,1
4518474,0,2
4496372,0,1
4518115,0,1
4496274,0,1
4496871,0,2
4496879,0,1
4497321,0,1
4497251,0,1
4497256,0,2
4497317,0,1
4497253,0,1
4497318,0,1
4497249,0,1
4497250,0,1
4518473,0,4
4497261,0,1
4518880,0,1
4497236,0,1
4544968,0,1
4497717,0,1
4497790,0,1
4545056,0,1
4545052,0,1
4544489,0,1
4544577,0,2
4544488,0,1
4518879,0,3
4518781,0,1
4518779,0,1
4504937,0,1
4498454,0,1
4518904,0,1
4498246,0,1
4498263,0,1
4499251,0,1
4498323,0,2
4498265,0,1
4544492,0,1
4544366,0,1
4505019,0,1
4520157,0,1
4504938,0,1
4500284,0,1
4499654,0,1
4499391,0,1
4499844,0,1
4500024,0,1
4520155,0,2
4520300,0,1
4520293,0,2
4500719,0,1
4500753,0,3
4500802,0,1
4500759,0,1
4520303,0,1
4520358,0,1
4545433,0,6
4500684,0,1
4520641,0,2
4520159,0,1
4500101,0,2
4500811,0,1
4520160,0,1
4522037,0,1
4501524,0,1
4501279,0,3
4501123,0,2
4501627,0,1
4501509,0,2
4501625,0,1
4501635,0,1
4520445,0,1
4520991,0,1
4521007,0,1
4522036,0,1
4545693,0,4
4502172,0,4
4502174,0,1
4502140,0,1
4502348,0,1
4501713,0,1
4501866,0,1
4502173,0,1
4521012,0,1
4521416,0,1
4521401,0,1
4521421,0,2
4520981,0,1
4521269,0,2
4502855,0,1
4503001,0,1
4502347,0,3
4521089,0,1
4502854,0,1
4521013,0,1
4521417,0,2
4545778,0,1
4503418,0,1
4503434,0,1
4503420,0,1
4503419,0,1
4545779,0,2
4545933,0,1
4521863,0,1
4521395,0,1
4545696,0,1
4504942,0,1
4503254,0,2
4503778,0,1
4503596,0,3
4503251,0,1
4503256,0,1
4503431,0,1
4503793,0,2
4503812,0,2
4503807,0,1
4521422,0,1
4522218,0,1
4522916,0,1
4506278,0,1
4506352,0,1
4505643,0,2
4505923,0,1
4546289,0,1
4506285,0,1
4546366,0,1
4506775,0,1
4506626,0,1
4523596,0,1
4523544,0,1
4523587,0,1
4507027,0,1
4506806,0,1
4506645,0,2
4523592,0,1
4523585,0,1
4523598,0,1
4522921,0,1
4523306,0,1
4523543,0,1
4546365,0,1
4507814,0,2
4507263,0,1
4524125,0,5
4507566,0,1
4507562,0,7
4507818,0,1
4508150,0,1
4508108,0,1
4508428,0,1
4547007,0,4
4546606,0,1
4524532,0,1
4524540,0,1
4508793,0,1
4508403,0,1
4508794,0,2
4508717,0,2
4508149,0,13
4524494,0,2
4524531,0,1
4509077,0,1
4508939,0,1
4508695,0,2
4508904,0,2
4547107,0,2
4523589,0,1
4524491,0,1
4524337,0,3
4524339,0,1
4509374,0,1
4545310,3,6
4509052,0,2
4509922,0,1
4547450,0,1
4546583,0,1
4547446,0,1
4547451,0,1
4547457,0,1
4510477,0,1
4510485,0,1
4510605,0,1
4510140,0,2
4510722,0,1
4510665,0,1
4509394,0,1
4511189,0,1
4510758,0,1
4510491,0,1
4511165,0,1
4510483,0,1
4510825,0,1
4510730,0,1
4525195,0,1
4525532,0,1
4525204,0,1
4525199,0,1
4525608,0,1
4525533,0,1
4525304,0,2
4525200,0,1
4525289,0,1
4524897,0,1
4525534,0,1
4525573,0,1
4525515,0,1
4524761,0,4
4511411,0,1
4511759,0,1
4511318,0,1
4511790,0,1
4511228,0,1
4511771,0,1
4511416,0,1
4512692,0,1
4512296,0,1
4512790,0,1
4526459,0,2
4526475,0,1
4526500,0,1
4526494,0,1
4512673,0,1
4512799,0,1
4513039,0,1
4512797,0,1
4526468,0,1
4526503,0,1
4513027,0,4
4513082,0,1
4513345,0,1
4525347,0,1
4526519,0,2
4527074,0,1
4527113,0,1
4548763,0,2
4548223,0,1
4548753,0,1
4548774,0,3
4548766,0,1
4548781,0,1
4548685,0,1
4548760,0,1
4527492,0,1
4527111,0,1
4527345,0,1
4527135,0,1
4527491,0,2
4527256,0,1
4527406,0,1
4548573,0,1
4548768,0,1
4528353,0,1
4528301,0,1
4527868,0,1
4528307,0,1
4528649,0,3
4528655,0,1
4528732,0,1
4528652,0,1
4528295,0,1
4528304,0,4
4549265,0,1
4548575,0,4
4549229,0,2
4549228,0,1
4528638,0,1
4529078,0,1
4529180,0,1
4528648,0,2
4529125,0,1
4549287,0,1
4549286,0,1
4549962,0,1
4549816,0,1
4549917,0,1
4528988,0,1
4529459,0,1
4529108,0,1
4529885,0,1
4529120,0,1
4549973,0,2
4549382,0,3
4549916,0,1
4530418,0,1
4530423,0,1
4530279,0,1
4530424,0,1
4530417,0,1
4529734,0,1
4549268,0,1
4550140,0,1
4530811,0,1
4530504,0,1
4530701,0,1
4530715,0,2
4530703,0,1
4530702,0,1
4530818,0,1
4549964,0,1
4549972,0,1
4550962,0,2
4550853,0,1
4550811,0,1
4550961,0,1
4550353,0,2
4550069,0,1
4531361,0,1
4531891,0,1
4531886,0,1
4531423,1,2
4531407,0,4
4550824,0,1
4550856,0,1
4531896,0,2
4531902,0,1
4532653,0,3
4532943,0,1
4532722,0,2
4532950,0,1
4532680,0,1
4532832,0,1
4551397,0,1
4550831,0,1
4551322,0,1
4551461,0,1
4532689,0,1
4533518,0,1
4533564,0,1
4532947,0,1
4551601,0,1
4551607,0,2
4551463,0,1
4551937,0,1
4551631,0,1
4552021,0,1
4528684,0,2
4534101,0,1
4534105,0,1
4533407,0,2
4533419,0,1
4533406,0,1
4533719,0,3
4534138,0,1
4534139,0,1
4534110,0,1
4534140,0,1
4533994,0,1
4534655,0,1
4551782,0,2
4535044,0,1
4535062,0,1
4535058,0,2
4535047,0,1
4535063,0,2
4534685,0,4
4535615,0,2
4535667,0,1
4535676,0,1
4535296,0,3
4552062,0,1
4552455,0,1
4552766,0,2
4552636,0,1
4552850,0,2
4552486,0,3
4536430,0,1
4535553,0,1
4536310,0,1
4536318,0,1
4535684,0,2
4536319,0,1
4536420,0,1
4536428,0,1
4553057,0,1
4536421,0,1
4536332,0,1
4536763,0,1
4553055,0,1
4536588,0,2
4537108,0,2
4537236,0,1
4537161,0,1
4538008,0,2
4538007,0,1
4538024,0,1
4538013,0,1
4537804,0,1
4537252,0,1
4538010,0,1
4538009,0,1
4553930,0,1
4553411,0,1
4553937,0,2
4554090,0,3
4553931,0,1
4553996,0,2
4538203,0,1
4538402,0,1
4538015,0,1
4538245,0,4
4538181,0,1
4538201,0,1
4554014,0,1
4554353,0,1
4539413,0,1
4538805,0,1
4538401,0,1
4539073,0,1
4539069,0,1
4555013,0,1
4555002,0,1
4555012,0,1
4555003,0,1
4540739,0,1
4540458,0,1
4540332,0,1
4540744,0,1
4540024,0,1
4540724,0,1
4539847,0,3
4540474,0,3
4540740,0,1
4540716,0,1
4554522,0,1
4554723,0,3
4541600,0,1
4541560,0,2
4538202,0,1
4541935,0,1
4541937,0,1
4541801,0,1
4541933,0,1
4541934,0,1
4542170,0,1
4542135,0,2
4542171,0,1
4542146,0,1
4542157,0,1
4555006,0,1
4555413,0,1
4555762,0,1
4555793,0,2
4555008,0,2
4555768,0,1
4555792,0,1
4555771,0,4
4555787,0,1
4555007,0,1
4555777,0,1
4555770,0,1
4556039,0,1
4555959,0,1
4556203,0,1
4556489,0,1
4556173,0,1
4556488,0,1
4557354,0,1
4557370,0,1
4557442,0,1
4557330,0,1
4557385,0,1
4557367,0,1
4557317,0,1
4557353,0,2
4557328,0,2
4557668,0,1
4557646,0,1
4557374,0,3
4557779,0,1
4557769,0,1
4557663,0,3
4557638,0,1
4557664,0,1
4557673,0,1
4557778,0,1
4557361,0,2
4557679,0,1
4557680,0,1
4557944,0,1
4558038,0,2
4559048,0,1
4558540,0,1
4557945,0,1
4559027,0,1
4559312,0,1
4559309,0,1
4559034,0,2
4559563,0,1
4559593,0,1
4559583,0,5
4559940,0,1
4559265,0,2
4560308,0,1
4560097,0,1
4559792,0,1
4559665,0,1
4560746,0,1
4560737,0,1
4560872,0,2
4560538,0,1
4560074,0,1
4560748,0,1
4560745,0,1
4561070,0,1
4561066,0,1
4561290,0,1
4561455,0,1
4561460,0,2
4561284,0,6
4561459,0,1
4561399,0,1
4561288,0,1
4561314,0,3
4561462,0,1
4561434,0,2
4562153,0,1
4562163,0,1
4562862,0,1
4562158,0,1
4562860,0,2
4563204,0,4
4563632,0,3
4563618,0,1
4563574,0,1
4563984,0,1
4563600,0,1
4563992,0,1
4563978,0,1
4563593,0,2
4564085,0,1
4564086,0,2
4563596,0,1
4563939,0,1
4564090,0,1
4563815,0,1
4591710,1,0
4564482,0,1
4564976,0,1
4563942,0,2
4564818,0,1
4565558,0,1
4565555,0,3
4556201,0,1
4564814,0,1
4565675,0,1
4565053,0,2
4566046,0,1
4565744,0,1
4565701,0,1
4565749,0,1
4565570,0,1
4566204,0,1
4566412,0,1
4565758,0,1
4566410,0,1
4566207,0,1
4566413,0,1
4566789,0,1
4566415,0,1
4566800,0,2
4567046,0,1
4566806,0,2
4566797,0,3
4567393,0,1
4567389,0,1
4567403,0,1
4566637,0,1
4567742,0,4
4567750,0,1
4567735,0,1
4567749,0,1
4567755,0,1
4567779,0,1
4567397,0,1
4567756,0,1
4567714,0,1
4568148,0,2
4568306,0,1
4568308,0,1
4567787,0,2
4568309,0,1
4568151,0,1
4568146,0,1
4567789,0,1
4568499,0,5
4567895,0,2
4569229,0,1
4568864,0,1
4568725,0,1
4569251,0,1
4568924,0,1
4568925,0,1
4568724,0,1
4569227,0,2
4568926,0,1
4568312,0,3
4569249,0,1
4568927,0,1
4568976,0,1
4569666,0,1
4569234,0,1
4563584,0,4
4570094,0,1
4570729,0,1
4570730,0,1
4570884,0,1
4570899,0,1
4570683,0,1
4570731,0,1
4571323,0,1
4572016,0,2
4571325,0,1
4571832,0,1
4571841,0,2
4572560,0,1
4572562,0,1
4572868,0,2
4572564,0,1
4572941,1,4
4572867,0,1
4573573,0,1
4573985,0,1
4573982,0,3
4573983,0,1
4573499,0,1
4573979,0,1
4573987,0,2
